gsm,celltype,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
GSM5050569,fibroblast,RGS5,1821,0.043093918212158244,0.037342119714442616,0.08853107938346716
GSM5050569,fibroblast,TPSAB1,1821,0.00010291797131385742,0.0005491488193300384,0.0003034562752052856
GSM5050569,fibroblast,PMEL,1821,0.00343482712042445,0.008786381109280615,0.0048442846467771266
GSM5050569,fibroblast,DCD,1821,0.0010374665764538913,0.002196595277320154,0.001516361356382304
GSM5050569,fibroblast,TIMP1,1821,2.282077597572746,0.9516749038989566,3.06544099015071
GSM5050569,fibroblast,CHI3L1,1821,0.2922656531545132,0.2015376166941241,0.8246504635448839
GSM5050569,fibroblast,FN1,1821,2.868738561726042,0.985172981878089,3.343667014046396
GSM5050569,fibroblast,DCN,1821,3.363434394269927,0.9802306425041186,3.6445733555300914
GSM5050569,fibroblast,LUM,1821,3.701246957751801,0.9824272377814388,4.037173819149144
GSM5050569,keratinocyte,COL1A1,284,1.915921801651242,0.9401408450704225,2.06124666788359
GSM5050569,keratinocyte,PDGFRA,284,0.04215026308991125,0.04929577464788732,0.04184612581831941
GSM5050569,keratinocyte,KRT14,284,5.944838809672422,0.9964788732394366,6.19724460077559
GSM5050569,keratinocyte,KRT10,284,0.8097576364317096,0.6197183098591549,1.6607443159040454
GSM5050569,keratinocyte,LYZ,284,0.011228218840818503,0.014084507042253521,0.010123351377435598
GSM5050569,keratinocyte,CD3D,284,0.0,0.0,0.0
GSM5050569,keratinocyte,MS4A1,284,0.0036700365849167593,0.0035211267605633804,0.008106863084856022
GSM5050569,keratinocyte,PECAM1,284,0.04301309000672493,0.03873239436619718,0.04574163918433494
GSM5050569,keratinocyte,CCL21,284,0.020301365732877732,0.03873239436619718,0.02412605020759864
GSM5050569,keratinocyte,RGS5,284,0.04790131762265535,0.04225352112676056,0.20697328087959443
GSM5050569,keratinocyte,TPSAB1,284,0.0,0.0,0.0
GSM5050569,keratinocyte,PMEL,284,0.0013115870362494962,0.0035211267605633804,0.002032885457078382
GSM5050569,keratinocyte,DCD,284,0.0,0.0,0.0
GSM5050569,keratinocyte,TIMP1,284,0.3792308306689333,0.3591549295774648,0.40992404508073316
GSM5050569,keratinocyte,CHI3L1,284,0.012024091745349805,0.017605633802816902,0.0221376293165303
GSM5050569,keratinocyte,FN1,284,0.41440377061371847,0.40492957746478875,0.6011174327835225
GSM5050569,keratinocyte,DCN,284,1.1726420867750378,0.7288732394366197,1.3942824270834941
GSM5050569,keratinocyte,LUM,284,0.6357057480690301,0.5563380281690141,0.6318751705327501
GSM5050569,lymphatic_ec,COL1A1,44,1.9985258609060899,0.9772727272727273,1.7708979338731536
GSM5050569,lymphatic_ec,PDGFRA,44,0.07690116739600836,0.09090909090909091,0.049419550400585044
GSM5050569,lymphatic_ec,KRT14,44,0.6040147438650869,0.6590909090909091,0.4510354688546253
GSM5050569,lymphatic_ec,KRT10,44,0.5592351491064772,0.5909090909090909,0.7245888375707239
GSM5050569,lymphatic_ec,LYZ,44,0.016928100412128014,0.045454545454545456,0.025015030633959608
GSM5050569,lymphatic_ec,CD3D,44,0.0,0.0,0.0
GSM5050569,lymphatic_ec,MS4A1,44,0.0,0.0,0.0
GSM5050569,lymphatic_ec,PECAM1,44,1.2384952823967188,0.75,1.6324142068823901
GSM5050569,lymphatic_ec,CCL21,44,3.6908026631805844,0.7954545454545454,5.265012439470819
GSM5050569,lymphatic_ec,RGS5,44,0.05134156643224153,0.045454545454545456,0.08494469899742424
GSM5050569,lymphatic_ec,TPSAB1,44,0.0,0.0,0.0
GSM5050569,lymphatic_ec,PMEL,44,0.023142051027506483,0.022727272727272728,0.012585732247364713
GSM5050569,lymphatic_ec,DCD,44,0.0,0.0,0.0
GSM5050569,lymphatic_ec,TIMP1,44,2.3951920383696725,0.8181818181818182,4.006957900563108
GSM5050569,lymphatic_ec,CHI3L1,44,0.0,0.0,0.0
GSM5050569,lymphatic_ec,FN1,44,2.0312269245395282,0.9090909090909091,2.600857407843769
GSM5050569,lymphatic_ec,DCN,44,0.28207600000592964,0.38636363636363635,0.8126448888524842
GSM5050569,lymphatic_ec,LUM,44,0.271245219002213,0.36363636363636365,0.8348734473819354
